carrier_code,flight_date,flight_number,tail_number,origin_airport,destination_airport,scheduled_departure_time,actual_departure_time,scheduled_elapsed_minutes,actual_elapsed_minutes,departure_delay_minutes,wheels_off_time,taxi_out_minutes,carrier_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes,is_cancelled
WN,2022-05-24,1129.0,N8510E,ATL,LIT,16:05,16:05,95.0,86.0,0.0,16:19,14.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-08-23,3684.0,N8571Z,ATL,DCA,19:40,19:44,110.0,102.0,4.0,20:00,16.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-07-25,1309.0,N8549Z,ATL,MSY,22:20,00:24,85.0,70.0,124.0,00:33,9.0,62.0,0.0,0.0,0.0,47.0,0
WN,2022-12-19,147.0,N8555Z,ATL,MIA,10:15,10:13,120.0,162.0,-2.0,10:36,23.0,0.0,0.0,40.0,0.0,0.0,0
WN,2022-02-08,1897.0,N8552Z,ATL,MDW,18:45,18:41,115.0,102.0,-4.0,18:55,14.0,0.0,0.0,0.0,0.0,0.0,0
WN,2026-01-08,1161.0,N8868L,ATL,DAL,17:35,17:24,145.0,141.0,-11.0,17:39,15.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-08-01,3714.0,N8530W,ATL,SRQ,10:30,10:33,90.0,80.0,3.0,10:48,15.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-10-11,4105.0,N8885Q,ATL,OMA,22:15,22:21,145.0,130.0,6.0,22:35,14.0,0.0,0.0,0.0,0.0,0.0,0
WN,2025-01-03,1797.0,N7877H,ATL,RDU,10:35,10:32,85.0,83.0,-3.0,10:49,17.0,0.0,0.0,0.0,0.0,0.0,0
WN,2025-06-02,2483.0,N293WN,ATL,AUS,10:10,10:28,150.0,134.0,18.0,10:43,15.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-12-04,2121.0,N7866A,ATL,STL,16:10,16:10,100.0,102.0,0.0,16:21,11.0,0.0,0.0,0.0,0.0,0.0,0
WN,2025-08-24,2544.0,N8623F,ATL,DAL,18:00,18:09,135.0,119.0,9.0,18:21,12.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-04-23,1696.0,N244WN,ATL,AUS,08:50,09:15,150.0,152.0,25.0,09:32,17.0,25.0,0.0,2.0,0.0,0.0,0
WN,2022-02-09,1458.0,N8564Z,ATL,AUS,09:00,08:55,160.0,160.0,-5.0,09:12,17.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-12-10,835.0,N8612K,ATL,MCO,13:25,13:22,85.0,91.0,-3.0,13:33,11.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-12-24,3535.0,N258WN,ATL,TPA,10:45,11:00,90.0,82.0,15.0,11:09,9.0,0.0,0.0,0.0,0.0,0.0,0
WN,2026-02-19,1066.0,N7847A,ATL,LGA,15:00,14:58,125.0,112.0,-2.0,15:10,12.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-12-26,1095.0,N8600F,ATL,GSP,09:50,00:00,55.0,0.0,0.0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,1
WN,2023-10-25,450.0,N8507C,ATL,BNA,15:15,15:52,70.0,57.0,37.0,16:02,10.0,0.0,0.0,0.0,0.0,24.0,0
WN,2022-06-01,4051.0,N566WN,ATL,AUS,13:35,14:02,155.0,150.0,27.0,14:31,29.0,20.0,0.0,0.0,0.0,2.0,0
WN,2024-01-02,1247.0,N8828L,ATL,STL,08:10,08:16,105.0,99.0,6.0,08:33,17.0,0.0,0.0,0.0,0.0,0.0,0
WN,2024-02-12,3507.0,N8894Q,ATL,LGA,10:15,10:15,135.0,110.0,0.0,10:31,16.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-06-29,1349.0,N8829Q,ATL,SAT,08:15,08:13,145.0,139.0,-2.0,08:33,20.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-12-19,752.0,N8504G,ATL,MCI,08:05,08:07,130.0,129.0,2.0,08:18,11.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-07-09,1927.0,N8573Z,ATL,FLL,18:05,18:02,115.0,110.0,-3.0,18:16,14.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-12-05,872.0,N8815L,ATL,RSW,21:55,22:19,100.0,87.0,24.0,22:30,11.0,0.0,0.0,0.0,0.0,0.0,0
WN,2022-07-28,1121.0,N8562Z,ATL,JAN,22:35,22:40,80.0,78.0,5.0,23:04,24.0,0.0,0.0,0.0,0.0,0.0,0
WN,2025-11-23,778.0,N458WN,ATL,MCO,18:30,18:44,90.0,78.0,14.0,18:53,9.0,0.0,0.0,0.0,0.0,0.0,0
WN,2023-12-07,2077.0,N8801Q,ATL,MDW,20:10,20:09,115.0,115.0,-1.0,20:27,18.0,0.0,0.0,0.0,0.0,0.0,0
WN,2025-10-23,2475.0,N964WN,ATL,MCI,13:35,13:51,125.0,132.0,16.0,14:07,16.0,16.0,0.0,7.0,0.0,0.0,0
WN,2023-04-16,510.0,N8654B,ATL,BWI,22:45,22:51,110.0,93.0,6.0,23:07,16.0,0.0,0.0,0.0,0.0,0.0,0
